Designator,Mid X,Mid Y,Rotation,Layer
C1,116.9935,-74.676,180.0,bottom
C2,116.9935,-71.882,180.0,bottom
C3,150.622,-76.708,180.0,bottom
C4,134.366,-73.152,0.0,bottom
C5,166.624,-72.644,0.0,bottom
C6,167.132,-75.438,0.0,bottom
D11,165.862,-68.834,0.0,bottom
D12,132.752,-68.454,180.0,bottom
D13,91.06,-76.962,90.0,bottom
D14,91.314,-93.636,90.0,bottom
D15,108.548,-99.95,0.0,bottom
D16,134.62,-100.076,0.0,bottom
D17,165.264,-100.076,0.0,bottom
D18,183.77,-92.874,270.0,bottom
D19,183.896,-76.454,270.0,bottom
D2,174.752,-75.692,180.0,top
D3,174.752,-73.152,180.0,top
D4,174.752,-70.612,180.0,top
D5,174.752,-68.072,180.0,top
D6,174.498,-101.594,180.0,top
D7,174.498,-99.06,180.0,top
D8,174.498,-96.52,180.0,top
D9,174.498,-93.98,180.0,top
H1,90.73,-68.358238,0.0,top
H2,183.826,-68.358238,0.0,top
H3,90.73,-101.454238,0.0,top
H4,183.826,-101.454238,0.0,top
H5,130.675,-84.709,0.0,top
J1,109.982,-68.58,180.0,bottom
R3,150.6,-73.7,0.0,bottom
R4,130.81,-73.152,0.0,bottom
R5,106.2755,-77.724,0.0,bottom
R6,106.2755,-75.214,0.0,bottom
SW1,142.748,-68.834,180.0,bottom
SW10,159.258,-94.234,0.0,top
SW11,157.48,-68.834,0.0,bottom
SW2,175.25,-84.709,0.0,top
SW3,102.108,-75.184,90.0,top
SW4,121.158,-75.184,270.0,top
SW5,140.208,-75.184,180.0,top
SW6,159.258,-75.184,180.0,top
SW7,102.108,-94.234,90.0,top
SW8,121.15,-94.234,180.0,top
SW9,140.208,-94.234,0.0,top
U1,114.7395,-80.641,270.0,bottom
